Bedroom,Bathroom,Den,Lat,Long,Price,Address,Postal Code
2,2,0,43.7789286,-79.3241989,2500,", Toronto M1T 1a8 O",M1T
1,1,0,43.6520584,-79.3714575,2500,"112 George Street, M5A 2M5, Toronto, O",M5A
2,2,0,43.645396,-79.3942439,2500,"Downtown, Toronto M5V1K1 O",M5V
1,2,0,43.6402232,-79.395951,2500,"10 Capreol Court  Unit # 321, M5V 4B3, Toronto, O",M5V
3,3,0,43.6730167,-79.4399334,2500,"1353 Davenport Rd, Toronto, O",M6H
2,2,0,43.6444084,-79.3765617,2500,"18 Yonge St, Toronto, O",M5E
2,2,0,43.6374534,-79.4183866,2500,"5 Hanna Ave, Toronto, O",M6K
1,1,0,43.6472259,-79.3911003,2500,"21 widmer, M5V2E8, toronto, O",M5V
1,1,1,43.6402671,-79.3910061,2500,3,M5V
3,1,0,43.766969,-79.4967538,2500,"30 Leitch Ave, ",M3J
1,1,0,43.6464336,-79.3978064,2500,"39 Brant St, Toronto, O",M5V
1,1,1,43.6490665,-79.37693,2500,"7 King St E, Toronto, O",M5C
2,2,0,43.6372559,-79.5382147,2500,", M9B 1B1, Etobicoke, O",M9B
1,1,0,43.6527574,-79.3665108,2480,"460 Adelaide St E, Toronto, O",M4V
1,1,0,43.6527574,-79.3665108,2480,"460 Adelaide St E, Toronto, O",M4V
1,1,0,43.6531643,-79.3900311,2480,"96 St Patrick St, Toronto, O",M5T
1,1,0,43.6527574,-79.3665108,2480,"460 Adelaide St E, Toronto, O",M4V
1,1,0,43.6531643,-79.3900311,2480,"96 St Patrick St, Toronto, O",M5T
1,2,1,43.6598236,-79.3627273,2475,"225 Sackville St, Toronto, O",M5A
1,1,0,43.6450775,-79.3643417,2450,"15 Merchants Wharf, Toronto, O",M5A
1,1,0,43.6450775,-79.3643417,2450,"15 Merchants Wharf, Toronto, O",M5A
1,1,0,43.660269,-79.3828002,2450,"424 Yonge Street, Toronto, O",M5B
1,1,1,43.6216017,-79.4828681,2450,", Toronto m8v0b2 O",M8V
1,1,0,43.6450775,-79.3643417,2450,"15 Merchants Wharf, Toronto, O",M5A
1,1,1,43.6216017,-79.4828681,2450,", Toronto m8v0b2 O",M8V
1,1,0,43.6527574,-79.3665108,2450,"460 Adelaide St E, Toronto, O",M5A
1,1,0,43.6565369,-79.3544975,2450,"32 Trolley Cres, M5A 0E8, Toronto, O",M5A
1,1,0,43.6520584,-79.3714575,2450,"112 George St, Toronto, O",M5A
1,1,0,43.6418726,-79.3819064,2450,"12 York St, Toronto, O",M5J
1,1,1,43.6538906,-79.3689511,2450,"320 Richmond street east, M5A1P9, Toronto, O",M5A
1,1,0,43.682588,-79.417815,2450,", Toronto m5r 3j2 O",M5R
1,2,1,43.6274471,-79.4783741,2450,"2121 Lake Shore Blvd W, Etobicoke, O",M8V
1,1,1,43.6464345,-79.3918689,2450,", Toronto M5V 1J9 O",M5V
1,1,0,43.6464345,-79.3918689,2450,", Toronto M5V 1J9 O",M5V
1,2,1,43.6274471,-79.4783741,2450,"2121 Lake Shore Blvd W, Etobicoke, O",M8V
1,1,1,43.6460983,-79.3760549,2450,"8 The Esplanade 3003 Suite 3003, Toronto, O",M5E
1,1,1,43.6525764,-79.3670659,2450,"424 Adelaide St E, Toronto, O",M5A
